symbol,capital.net_profit_percent,exposure.percent,exposure.net_risk_adjusted_return,returns.cagr,returns.sharpe_ratio,trades.total,trades.avg_profit_loss,trades.avg_profit_loss_percent,trades.winners.total_profit,trades.winners.avg_profit,trades.winners.max_consecutive,trades.losers.total_loss,trades.losers.avg_loss,trades.losers.max_consecutive,drawdown.max_money,drawdown.max_percent,drawdown.max_drawdown_duration,profit_factor,period,period_dfast,lowerband
usdgbp,5.969066930353976,12.746386333771353,19.619010788972737,2.5007149100267485,-29.810879656655136,374,0.016446026391128583,0.015960072006294054,23728.845324770624,96.06819969542762,12,-17578.03145448857,-138.40969649203598,6,2215.7112137423683,2.1778718154275287,3734,1.3499148289845297,9,9,20
usdgbp,-9.701042327451564,75.18744685784958,-5.2332163698332215,-3.9347217770246385,-10.403315700687541,2134,-0.004334049283782365,-0.00454594298381048,132699.96221556637,95.12542094305833,17,-141948.82338715758,-192.08230498938778,9,12895.74578281559,12.89574578281559,12919,0.9348436926006393,9,9,20
usdgbp,-9.11884842326414,75.62031382855376,-4.896850899817344,-3.703014018158234,-10.48817624967535,2115,-0.004043251841895267,-0.0043115122568624775,138524.94427292797,100.81873673429983,14,-147076.42191853654,-198.4837002949211,6,12430.168658995986,12.212418432502302,12494,0.9418569099379838,9,9,20
usdgbp,-5.870396036106489,75.10241941717555,-3.1954543043734365,-2.3998634939547276,-10.410078895115953,2121,-0.0026082220365816157,-0.0027677491919408247,141075.97066124683,101.85990661461865,15,-146608.00960083643,-199.19566521852775,6,10841.949853154816,10.624038762316163,12487,0.9622664617393588,9,9,20
usdgbp,-10.16757367975552,75.04831104583752,-5.489789717846681,-4.119994463211983,-10.331087850791935,2126,-0.004471077169747201,-0.004782489971662991,133827.80112477613,96.4872394554983,16,-143333.31118765852,-193.95576615380043,9,12586.350543348293,12.507594846302759,12905,0.9336824776870093,9,9,20
usdgbp,-13.40944941736498,75.27247429852362,-7.170753340089038,-5.397603464929046,-10.426537834361444,2121,-0.005842614311731224,-0.006322229805452608,127712.9822716038,92.34488956732018,17,-140105.16722678585,-189.84440003629518,6,16445.257653105116,16.323015703951384,12905,0.9115508357009915,9,9,20
usdgbp,-8.36168268823575,75.04831104583752,-4.531524811791417,-3.400832835872526,-10.487049278193144,2130,-0.0036884660886855746,-0.003925672623584859,136961.55724468423,99.24750524977118,18,-144817.99001358432,-193.09065335144575,6,12750.58466926738,12.62962982299875,12487,0.9457496077099045,9,9,20
usdgbp,-5.5417021541052875,75.29566360052561,-3.0108320879939745,-2.2670260005526246,-10.293849115599958,2153,-0.0024249965894987983,-0.0025739443353949313,141525.5886014544,99.03820056084982,16,-146746.60625864513,-202.68868267768664,8,11350.824325329915,11.260945709192347,12709,0.9644215441140183,9,9,20
usdgbp,-8.393292914883075,75.0096622091675,-4.550703430310908,-3.4134672712172103,-10.359275505308487,2126,-0.003709103930529173,-0.003947927053096461,135822.61023065046,97.50366850728676,14,-143708.16518695594,-196.05479561658382,7,12442.48891585796,12.386809133027555,12907,0.9451279964082289,9,9,20
usdgbp,-5.497566723280343,75.07923011517353,-2.995735912275799,-2.2491754592204405,-10.482820287594556,2126,-0.0024361135053967333,-0.0025858733411478567,140950.44108807683,102.36052366599624,14,-146129.61840055048,-195.09962403277768,9,11160.28780926112,11.038517862135297,12487,0.9645576484140457,9,9,20
