symbol,capital.net_profit_percent,exposure.percent,exposure.net_risk_adjusted_return,returns.cagr,returns.sharpe_ratio,trades.total,trades.avg_profit_loss,trades.avg_profit_loss_percent,trades.winners.total_profit,trades.winners.avg_profit,trades.winners.max_consecutive,trades.losers.total_loss,trades.losers.avg_loss,trades.losers.max_consecutive,drawdown.max_money,drawdown.max_percent,drawdown.max_drawdown_duration,profit_factor,period,period_dfast,lowerband
usdcad,1.6730496765953191,75.3099730458221,0.9224519688948104,0.694698329135337,-14.603802325405962,1851,0.0009513631579671858,0.0009038626021584652,103202.02665803047,83.29461392899958,22,-101441.05345263315,-165.75335531476006,8,4617.985660586099,4.480725740016806,6122,1.0173595713516481,19,10,20
usdcad,-1.144412364932749,75.00192529842126,-0.6298911158327697,-0.472430464158286,-14.67792780371973,1840,-0.0005793972007870793,-0.0006219632418112765,97975.10171492776,80.11046746927863,16,-99041.19256437589,-160.52057141714081,7,6822.815651200668,6.706525698782195,12869,0.9892358843644257,19,10,20
usdcad,-3.786858864699147,75.20985752791682,-2.0672328583871473,-1.5547628875632558,-14.595728085741246,1860,-0.0019744290825844373,-0.0020359456261823373,96893.34835887598,78.77507996656584,22,-100565.78645248305,-159.62823246425882,7,8267.020642735792,8.168524736108544,12869,0.9634822316500028,19,10,20
usdcad,0.5275085005015288,75.36388140161725,0.2899502763410941,0.21851778238536362,-14.708312180173005,1855,0.00030382822559954655,0.0002843711593000155,101185.69083762063,81.99812871768285,22,-100622.08947913365,-162.0323502079447,9,5690.139690972035,5.604133311285169,10419,1.0056011692999465,19,10,20
usdcad,2.0184929592517893,75.69503273007317,1.1080467024018241,0.8387363140475572,-14.63666263681331,1861,0.0011354688413148391,0.0010846281350090216,102998.74664244584,83.94355879579938,21,-100885.63912875885,-159.12561376775844,7,5622.950015041584,5.473600218227332,8632,1.0209455729471075,19,10,20
usdcad,3.2662652919745963,75.40238737004236,1.8046283850608944,1.3607328854933551,-14.53086322093974,1871,0.0018237904384364612,0.0017457323848073737,106558.60307864562,86.63301063304522,20,-103146.29116833094,-160.9146508086286,7,4984.112055527003,4.887166331970572,6433,1.0330822550347052,19,10,20
usdcad,3.3296379353573315,75.12514439738159,1.8466738027088476,1.3873163608336394,-14.608519075217151,1854,0.001866652652223475,0.00179592121648184,104535.52731545633,84.78144956646905,22,-101074.75329823403,-162.76127745287283,5,6226.514201213373,6.126989886770776,6421,1.034239747358184,19,10,20
usdcad,0.31621584836002126,75.57181363111283,0.1732571632527394,0.1309335805159131,-14.487564360689507,1867,0.00021754532273215836,0.00016937110249599425,102056.74499024963,82.5701820309463,19,-101650.58787270855,-161.09443402964905,7,6147.010575881708,6.031856088714332,10302,1.0039956199569617,19,10,20
usdcad,3.1340953429376874,75.04813246053138,1.739300881946695,1.305312829770546,-14.481921554428052,1845,0.0017754591845676423,0.001698696662838855,106776.17340967979,87.80935313296035,20,-103500.45121415229,-164.54761719261094,6,4643.4804950369,4.584998379595129,3928,1.0316493518347056,19,10,20
usdcad,5.137177265180773,75.47939930689257,2.846449626486949,2.1484830796456365,-14.682508741076214,1855,0.0028829497774057176,0.0027693677979411173,106217.94605199894,85.86737756830956,19,-100870.07421491128,-163.2201848137723,5,5356.408576906149,5.1690631436667065,7898,1.053017427405611,19,10,20
usdcad,0.22053996765004596,75.24066230265692,0.12134339007837146,0.09129957035546317,-14.61155524904802,1848,0.00015885719139928722,0.00011933980933444045,102466.17124752987,83.64585407961621,17,-102172.60315782367,-164.0009681505998,6,6414.5266668704135,6.2226985247187185,10355,1.0028732564369798,19,10,20
usdcad,4.517330710015889,75.48710050057758,2.4995263325790775,1.8868199547123692,-14.577108172003106,1874,0.002506348074477614,0.0024105286606274754,106924.4849360476,86.64869119614877,18,-102227.58864447643,-159.73060725699443,5,5558.064575175624,5.364693639582812,4536,1.0459454864763158,19,10,20
usdcad,2.165206788852331,74.75548710050057,1.203889234123366,0.899973261119408,-14.720705665416443,1856,0.001228409162104744,0.001166598485373023,102860.63545359799,84.72869477232125,20,-100580.70804873144,-156.66776954631064,5,5855.68181141805,5.700159829832021,8543,1.0226676412315763,19,10,20
usdcad,2.6864703308430005,74.47054293415479,1.50105606874097,1.11784460413748,-14.549073918325362,1848,0.0015137895875687137,0.0014537177114951302,103985.86245129214,84.06294458471474,20,-101188.379293465,-165.61109540665302,6,5777.383202776749,5.686012437793371,6842,1.0276462888066813,19,10,20
usdcad,-0.7115564544609735,75.54871005005775,-0.38915834870479216,-0.2940041124985761,-14.689466576319582,1846,-0.00034502784597185884,-0.0003854585343775588,100154.63738621159,82.36401100839768,20,-100791.5587898757,-159.98660125377094,9,5832.171034596584,5.725534180903455,12869,0.9936808060981384,19,10,20
usdcad,0.9253775203350405,75.34077782056218,0.5092181187846682,0.38364889149560333,-14.76991837063449,1855,0.0005496817558087127,0.000498855806110534,100046.65217480854,81.33874160553539,23,-99026.99251778345,-158.44318802845353,7,6816.843276988046,6.720878032445346,9330,1.0102967850593056,19,10,20
usdcad,-3.4243057160560197,75.50250288794763,-1.8634647709386756,-1.40696254249386,-14.607916681046076,1841,-0.0017817397438760932,-0.0018600248321868657,97284.01146447587,81.27319253506757,22,-100564.19433295185,-156.1555812623476,9,9477.034696631206,9.246817203684907,12869,0.9673821990994546,19,10,20
usdcad,2.618615529692137,75.39468617635734,1.4450048530452568,1.0894568741866049,-14.752293491636104,1861,0.001465746260118005,0.0014071013055841682,103598.13428672048,84.02119569077087,18,-100870.38049664105,-160.62162499465137,5,5355.681086330995,5.2124101037426485,8584,1.0270421681434052,19,10,20
usdcad,3.3456001617644047,75.05583365421641,1.8573016998130878,1.394013274268645,-14.604670305461118,1840,0.0019084146703496029,0.0018182609574806548,107157.4637509709,88.34086047070973,17,-103645.98075752774,-165.30459450961362,6,5423.3559210670355,5.168171277007517,6434,1.033879586721824,19,10,20
usdcad,-2.2610923725269942,75.08663842895649,-1.2402487352053928,-0.9312610834233792,-14.525633379157199,1832,-0.0011727926818776103,-0.0012342207273618965,97525.66343440447,80.86705094063389,21,-99674.2196276045,-159.22399301534264,10,6533.9020137877815,6.479269449764621,12898,0.9784442135466191,19,10,20
usdcad,0.9650348003380774,74.88640739314593,0.5343067219938344,0.40012310856126654,-14.43282645814598,1860,0.0005607714682082098,0.0005188359141602567,102006.91533528497,83.13522032215563,16,-100963.88040441766,-159.50060095484622,7,5538.987241282695,5.500513716567609,12445,1.0103307730119857,19,10,20
usdcad,0.9111189924105577,74.78629187524066,0.5050743132589253,0.3777263501006872,-14.645064883442952,1842,0.000545742001893817,0.0004946357179210411,101632.66120287192,83.85533102547188,23,-100627.40443538353,-159.72603878632307,7,6100.913396133765,5.9752180943986435,12869,1.0099898906578069,19,10,20
usdcad,0.46800963587308625,75.21755872160185,0.2577148254010923,0.19384680013034028,-14.576336907794174,1832,0.00027499178725684986,0.00025546377503989423,101378.79638018431,83.57691375118245,22,-100875.01142592971,-162.9644772632144,5,5380.886087738763,5.296034037799045,10381,1.004994150158035,19,10,20
usdcad,3.4756316931010875,75.03273007316133,1.9306030429289947,1.4485841699851514,-14.827717877802707,1856,0.0019553067643347604,0.0018726463863691205,104831.51051746233,84.54154073988897,21,-101202.4611628568,-164.28970967996233,8,5130.213273793925,4.95250622645802,3908,1.0358592993975275,19,10,20
usdcad,3.2433454111483413,74.58606083943012,1.8114915634392097,1.3511201996079125,-14.70243358959732,1853,0.001819500061086342,0.0017503213227999684,104845.42140832478,84.62100194376495,21,-101473.88779513176,-165.2669182331136,6,5459.5886621129175,5.261762510634981,6796,1.0332256276609793,19,10,20
usdcad,2.5324770985990184,75.21755872160185,1.400512730881507,1.0534314857543075,-14.650846043032187,1860,0.0014189805456168395,0.0013615468272037733,106552.62164558245,86.55777550412871,20,-103913.31783073499,-165.20400291054847,5,5220.924091645735,4.99486508981223,8602,1.025399090991846,19,10,20
usdcad,-0.6431818628076446,75.28686946476704,-0.3530368193578662,-0.26579036935252215,-14.451607275796492,1854,-0.00030688191617309654,-0.0003469157836071438,101502.55834960319,82.45536827750055,22,-102071.51742218796,-163.8387117531107,8,7173.464587344279,7.10017920318073,12869,0.9944258781788122,19,10,20
usdcad,9.278634596908127,74.7323835194455,5.237480130221248,3.914093737671697,-14.809207164722922,1864,0.005258805689118711,0.004977808260143845,113025.642253081,89.7028906770484,19,-103223.22844856355,-170.89938484861514,5,6377.834999038052,6.004662449048189,3897,1.0949632553820192,19,10,20
usdcad,0.8071759077854743,74.64767038891029,0.44818845179683914,0.33456223821846454,-14.569127728187201,1849,0.000477909867736692,0.0004365472730045832,100740.53528857438,81.96951610136239,22,-99856.8799431293,-161.05948377924082,8,5285.29103410551,5.249861183877793,3929,1.0088492184609448,19,10,20
usdcad,1.8380374439111353,74.9788217173662,1.0182433649579667,0.7634668772607442,-14.566296317545241,1849,0.0010523773071549095,0.0009940710891893647,103701.86656170817,84.44777407305226,29,-101756.02092077889,-163.85832676453927,8,5757.292623218367,5.6902366573686,6816,1.019122658524985,19,10,20
usdcad,-0.7599970960673738,75.14824797843666,-0.4178242209866563,-0.31398758170102364,-14.592241990713875,1839,-0.0003635851294645613,-0.0004132665013960706,98687.24659549369,81.3579938957079,18,-99355.87964857902,-158.71546269741057,7,6442.348823674503,6.350419821246162,12897,0.9932703222451426,19,10,20
usdcad,3.2704950958488808,74.84790142472083,1.8203676458114593,1.3625069811044723,-14.473134971436073,1839,0.0018486147192873803,0.001778409513784057,104041.10949557625,85.14002413713277,20,-100641.50702680675,-163.11427394944369,6,5256.224642124522,5.176553030157233,6243,1.0337793279254452,19,10,20
usdcad,1.0161753527948716,75.13284559106661,0.5608354559564108,0.4213716371436845,-14.69892774422283,1855,0.0005991509285748807,0.0005478034246872623,100694.00339413327,81.20484144688167,16,-99582.57842162687,-161.9228917424827,6,5722.735264785952,5.645453778471141,11041,1.0111608374689867,19,10,20
usdcad,4.217592787223274,74.59376203311513,2.360155251336685,1.760528591794157,-14.541762526762785,1864,0.00235168982461427,0.0022626570746905974,104714.25160823748,85.20280846886695,21,-100330.70177515643,-158.00110515772667,6,5928.595483225625,5.86941958882882,9294,1.043691011380591,19,10,20
usdcad,-0.6678519632424277,75.44859453215248,-0.36577359209187743,-0.27597103440308995,-14.576257303696911,1858,-0.00031942184323927324,-0.0003594466971164842,103000.50449953631,84.28846522056982,18,-103593.9902842749,-162.8836325224448,7,7439.630198884901,7.1765863698821555,10379,0.9942710404038885,19,10,20
usdcad,7.046275908318749,74.41663457835965,3.975754999089472,2.958623069403278,-14.9320756185256,1845,0.003983234221018186,0.0038191197335060967,106543.7635799359,85.92238998381927,19,-99194.69644215736,-163.9581759374502,5,5070.399642067772,5.001426489283334,3516,1.074087299032806,19,10,20
usdcad,1.5687532207606647,74.94031574894109,0.8690258808035988,0.6512507390142334,-14.629895094757874,1852,0.000902640850928332,0.0008470589744927995,101974.27168810272,83.31231347067215,13,-100302.5808321832,-159.7174854015656,5,5290.918899809389,5.154197733710912,6364,1.0166664789883766,19,10,20
usdcad,-0.47120847693449525,75.02502887947632,-0.25963715435086493,-0.1947928500335869,-14.517806069717613,1854,-0.00021457229109352787,-0.00025415775454935017,100298.55255479907,80.95121271573775,19,-100696.36958248666,-163.73393428046612,7,6983.818859219507,6.9314467486896705,12898,0.9960493409113254,19,10,20
usdcad,3.3865259228778624,75.11744320369658,1.878639020606962,1.4111855993069162,-14.691781907498944,1866,0.0018861990963667005,0.0018148584795701298,105839.50434417548,85.14843470971479,16,-102319.85683035552,-164.2373303858034,6,5833.3047439513175,5.748505921784572,5429,1.034398479658308,19,10,20
usdcad,1.304524221611863,75.46399691952253,0.7172462504323183,0.5412626883316354,-14.590473947555646,1855,0.000747519288871938,0.0007032475588204113,100936.9080762138,81.9293085034203,23,-99550.25979535628,-159.7917492702348,5,5980.2531364074675,5.9118156485282345,12634,1.0139291276959803,19,10,20
usdcad,1.4664274963797312,75.17135155949171,0.8096732572048386,0.6086423306566369,-14.465767147920793,1859,0.0008342816229599582,0.0007888259797631691,104159.34511910673,84.20318926362711,21,-102608.4155820239,-164.96529836338246,5,5654.308661887262,5.605197250639293,6402,1.0151150325076703,19,10,20
usdcad,-1.227180995183011,75.25606469002696,-0.6730512881199741,-0.5065119127846274,-14.608497685124542,1847,-0.0006126750867388218,-0.0006644185139052577,99996.14427465697,82.2336712785008,21,-101127.75515986353,-160.2658560378186,6,6182.037096636195,6.099636807989215,12869,0.9888100859806717,19,10,20
usdcad,-0.3742287292466942,75.00962649210628,-0.2062847646406899,-0.15473343146710203,-14.627368627115075,1848,-0.00016297414963322283,-0.00020250472361834103,97781.95040951992,80.2148895894339,17,-98083.12663804204,-155.93501850245158,4,8093.5304004193895,7.950181320217183,12869,0.9969293777753073,19,10,20
usdcad,-1.6196246193079005,75.58721601848286,-0.8836795050688844,-0.6679487364074779,-14.652540368634124,1847,-0.0008223352591387961,-0.0008768947586940447,98094.467011786,80.40530082933279,17,-99613.32023541522,-158.87291903574996,5,7609.965371375452,7.492855114406247,12869,0.9847525088006329,19,10,20
usdcad,5.684944804836581,74.97112052368117,3.1749264167880438,2.380277910468356,-14.702126688258634,1852,0.0032095128610414576,0.0030696246246417823,106980.34495357037,87.25966146294483,17,-101036.32713492149,-161.399883602111,7,4129.482593863213,3.995467249480094,3918,1.058830501733415,19,10,20
usdcad,2.9915355681076305,74.70157874470543,1.667394738668766,1.2455701936917236,-14.606785650858026,1847,0.0016633980779405353,0.0016196727493815,103566.13539422542,84.06342158622193,20,-100493.8391442691,-163.4046164947465,5,4166.847058725238,4.129285695077456,6065,1.0305719860651927,19,10,20
usdcad,0.11172762697190025,75.10204081632654,0.06157330705718357,0.04624281019804807,-14.540575031842176,1835,0.00010956301690135321,6.088699017542248e-05,102950.37296324135,85.50695428840643,21,-102749.32482722725,-162.83569703205586,6,6315.727077827512,6.088438958552586,10377,1.0019566857140147,19,10,20
usdcad,1.9284179522464215,75.05583365421641,1.0674164080407071,0.801158283616845,-14.743273686388825,1863,0.0010849009861919414,0.0010351143060904034,101747.33507918635,82.31985038769122,18,-99726.16454191082,-159.05289400623735,7,6082.956184035749,5.99371377504616,7856,1.0202672041641199,19,10,20
usdcad,1.0244966279661705,74.80169426261071,0.5679410021026111,0.42482949198480263,-14.519573695253175,1850,0.0006053184229641753,0.0005537819610627948,103026.8147734051,83.82979232986582,16,-101906.97569092135,-164.10141013030812,6,5514.234627266531,5.435095702095861,10387,1.010988836386237,19,10,20
usdcad,-0.8956850910608191,75.54100885637274,-0.48972384688551474,-0.36994233454755593,-14.55582372819365,1844,-0.0004356412114952932,-0.0004857294420069518,100730.4368522486,83.3861232220601,22,-101533.75924624574,-159.64427554441153,9,7468.87802105998,7.287519660491723,12869,0.9920881251717582,19,10,20
usdcad,-0.21714488644869576,75.09433962264151,-0.11959982755283755,-0.08981270069062142,-14.513296157720413,1866,-0.0001162429247020403,-0.00011636917816114457,101146.82789263624,82.23319340864735,20,-101363.73719013018,-159.37694526750028,5,6116.989164041719,6.0686548030952,12897,0.9978600897766123,19,10,20
usdcad,-0.2503559569665956,74.95571813631113,-0.13813746207831856,-0.10354192671607815,-14.430935304115428,1853,-8.694407002113185e-05,-0.0001351084495232572,100362.17739782264,82.33156472339839,17,-100523.28475957182,-158.554076907842,6,6676.862812854,6.540624217127806,12869,0.9983973129993263,19,10,20
usdcad,-0.805478603080598,75.26376588371197,-0.4421073729129382,-0.33274665810382326,-14.703677366586927,1844,-0.0004350560284825881,-0.0004368105222779816,100646.03900928679,83.52368382513427,19,-101448.28232580848,-158.7610052047081,8,5762.008607621901,5.6431089994852925,12869,0.9920920956163138,19,10,20
usdcad,1.4319570516178661,75.48710050057758,0.7872774332238417,0.594292907236049,-14.509853708912098,1850,0.0008284880888951399,0.0007740308387123601,100931.42943442293,82.12484087422533,20,-99398.72646996692,-160.06236146532515,9,6331.023403937797,6.240416268597004,11025,1.0154197444865565,19,10,20
usdcad,-1.6266827723558561,75.57181363111283,-0.8876984270357599,-0.6708498008857845,-14.519633640291845,1840,-0.000838082140001616,-0.0008840667241064435,101407.8049251696,84.08607373562985,21,-102949.87606277241,-162.38150798544544,5,5965.549853679608,5.8678885064243875,12869,0.9850211462453579,19,10,20
