symbol,capital.net_profit_percent,exposure.percent,exposure.net_risk_adjusted_return,returns.cagr,returns.sharpe_ratio,trades.total,trades.avg_profit_loss,trades.avg_profit_loss_percent,trades.winners.total_profit,trades.winners.avg_profit,trades.winners.max_consecutive,trades.losers.total_loss,trades.losers.avg_loss,trades.losers.max_consecutive,drawdown.max_money,drawdown.max_percent,drawdown.max_drawdown_duration,profit_factor,period,period_dfast,lowerband
usdgbp,6.706882155820941,10.90670170827858,25.80184900429976,2.814130706119422,-30.389522519662844,327,0.021213783268489956,0.0205103429841619,23114.401804214463,99.6310422595451,16,-16177.49467541825,-170.28941763598158,6,2199.1028173968953,2.0345102091681833,4021,1.4287998400232431,11,12,20
usdgbp,-13.79632067780098,75.25701476385561,-7.373301016678941,-5.548926234705586,-10.39198878452444,2129,-0.006005456208306567,-0.00648018820000046,127597.60589621459,91.27153497583303,14,-140383.2221636992,-192.04271157824786,9,15764.386041865,15.741448449613518,12907,0.9089234734007213,11,12,20
usdgbp,-9.760514260522145,75.03285151116953,-5.275502084411886,-3.958359645465423,-10.554220501625327,2115,-0.004319807548193089,-0.004614900359584938,132796.90219550786,96.09037785492609,14,-141933.29515993642,-193.63341768067724,6,12817.07197929638,12.664065847919295,12487,0.9356289660284905,11,12,20
usdgbp,-4.973052431296292,75.32658266986164,-2.7039409035967887,-2.036786280092039,-10.48422753908716,2133,-0.002194337519716534,-0.0023314826213297196,141601.70671480199,102.46143756497973,14,-146282.2286443574,-194.78326051179417,6,9667.86277113545,9.536023051649352,12494,0.968003482221106,11,12,20
usdgbp,-11.714655918749916,75.50436731854371,-6.2669631582244,-4.731830882703559,-10.32825231577411,2112,-0.005158503842022208,-0.0055467120827414375,135513.77686690306,99.20481469026579,17,-146408.53698125388,-196.25809246816874,7,13750.093835414897,13.568936884401085,12489,0.9255865789045772,11,12,20
usdgbp,-12.621975868000632,75.41933987786967,-6.747390942039025,-5.088837707465004,-10.469716021049564,2117,-0.0055264870553072085,-0.005962199276334734,130871.62713242146,95.52673513315435,14,-142571.2002285065,-190.8583671064344,9,14214.292446726584,14.190314096454985,12907,0.9179387346299007,11,12,20
usdgbp,-8.959914789497692,75.24928499652161,-4.836807231230082,-3.6396628581606896,-10.527584083264658,2122,-0.004010917164090533,-0.004222391512487131,134794.41118114648,97.53575338722611,14,-143305.57740334628,-193.65618568019767,6,12156.834245761143,12.096911598168301,12905,0.9406082695703855,11,12,20
usdgbp,-10.620276696489167,75.19517662518358,-5.717699095280612,-4.29943393359278,-10.388719073957265,2122,-0.004672127921483814,-0.005004842929542491,134343.0253117775,97.20913553674205,13,-144257.28076116586,-194.94227129887278,9,13639.890295061385,13.511962496325827,12884,0.9312737950065584,11,12,20
usdgbp,-12.30115452253329,75.34977197186365,-6.586291988933173,-4.962755995062269,-10.404339337462195,2118,-0.005416345169478085,-0.0058079105394397024,129947.76205268016,94.50746331104011,17,-141419.58112163492,-190.3359099887415,8,12725.674442994685,12.704207269698506,12907,0.9188809712348966,11,12,20
usdgbp,-14.4826962715413,75.32658266986164,-7.722112176006006,-5.816803212118616,-10.443142955523525,2133,-0.0062481976018317715,-0.006789824787408017,128003.86633070323,92.02290893652281,15,-141331.2718154105,-190.4734121501489,7,15878.49583418286,15.761878740377703,12888,0.9057009442176825,11,12,20
usdgbp,-3.6008266827146267,74.94782407049549,-1.9733084112683,-1.478951716445655,-10.425163190118653,2130,-0.0016077862669843367,-0.0016905289590209516,142695.51052447248,101.85261279405601,14,-146120.09527314932,-200.43908816618563,9,7941.265619464422,7.880253443231888,12885,0.9765632184794631,11,12,20
usdgbp,-8.330065569167571,75.30339336785963,-4.499390851974845,-3.3881939924201085,-10.262266346909252,2128,-0.0037279633331735603,-0.003914504496789272,138111.19016422646,99.07545922828297,14,-146044.2961372197,-198.970430704659,7,11566.370250266147,11.508080882628445,12902,0.9456801382675055,11,12,20
usdgbp,-6.621647700721889,75.40388034320166,-3.584424121426618,-2.702794875513385,-10.338379509481637,2142,-0.0029127320007866966,-0.0030913387958552236,137842.19297433266,98.10832240166026,12,-144081.26492001774,-195.49696732702543,9,11733.919668193645,11.643042284540149,12489,0.9566975487815955,11,12,20
usdgbp,-8.029059042302872,75.0096622091675,-4.356485077858041,-3.267784741094105,-10.446320648488845,2114,-0.003571159498199768,-0.003798041174220848,135008.5256281822,98.47448988197097,13,-142557.95680737673,-191.86804415528496,9,11382.883203386635,11.315674291406236,12884,0.9470430739310098,11,12,20
usdgbp,-6.138614241325153,75.2647445311896,-3.332405803402357,-2.508126714673321,-10.394798111332136,2123,-0.0027249551139190745,-0.0028914810368936192,141551.46816815087,102.7969993958975,15,-147336.54787500144,-197.50207489946575,9,11355.155756631706,11.167634756650157,12487,0.960735609797519,11,12,20
usdgbp,-14.95453567528046,74.98647290716549,-8.002124277242684,-6.000510753152297,-10.430611968708376,2100,-0.006540665546211867,-0.007121207464419267,127321.22438574106,93.82551539111353,14,-141056.62203278582,-189.84740515852735,6,16666.97639323368,16.475530206071934,12884,0.9026249356527747,11,12,20
usdgbp,-9.567775362606328,75.12560871917755,-5.166989104492082,-3.881732017203257,-10.386027671230153,2125,-0.004216985679901924,-0.004502482523579448,135632.23704779887,97.64739888250459,14,-144593.33161759053,-196.45833100216106,7,12268.572104524239,12.249904626339307,12907,0.9380255336152619,11,12,20
usdgbp,-11.369447167875787,75.16425755584757,-6.1141398497548645,-4.595647823994458,-10.538418176064942,2116,-0.005003133028275951,-0.005373084672909162,134850.89835326214,97.57662688369184,15,-145437.52784109444,-198.14377090067364,6,13714.458091389839,13.560078346750426,12494,0.9272084059390827,11,12,20
usdgbp,-13.460436052412462,75.09468964984154,-7.214305726354141,-5.417560495596389,-10.434522636892797,2126,-0.00584987857319908,-0.006331343392479991,127187.98016660483,91.70005779856152,15,-139624.82201322625,-188.93751287310724,7,15663.115381417549,15.639282871635675,12907,0.9109267129777017,11,12,20
usdgbp,-6.477545251719766,75.29566360052561,-3.51250057095268,-2.6447606138710715,-10.334112405227268,2128,-0.0029190094668353457,-0.003043959234830717,138564.3599127049,98.20294820177527,14,-144776.0120581305,-201.91912420938704,9,11313.933489770745,11.256916291259518,12902,0.9570947420285932,11,12,20
usdgbp,-5.266723882295642,75.22609569451959,-2.8657051692056426,-2.155758112909431,-10.684277055163214,2127,-0.0023319404769363053,-0.002476127824304486,137176.65204972497,98.97305342693,16,-142136.68944416862,-191.8173946614961,9,13329.777677372986,13.073661327024388,12489,0.9651037503839432,11,12,20
usdgbp,-6.550652263585166,75.17971709051558,-3.55708609883152,-2.6742072657675937,-10.419696178689875,2130,-0.0028978790281465,-0.003075423597927308,138815.75661366418,99.86745080119725,17,-144988.2389436159,-195.93005262650797,9,12032.727608811663,11.973416699284796,12905,0.9574277032749386,11,12,20
usdgbp,-8.336106722564104,74.77003942181341,-4.534716148890752,-3.3906090521929535,-10.480855239304493,2106,-0.003746968269663283,-0.003958265300362822,134713.86587499845,98.33128895985288,14,-142604.98105090883,-193.7567677322131,6,12957.321030063846,12.859748557626988,12880,0.9446645193053017,11,12,20
usdgbp,-10.529169160878807,75.28793383319162,-5.662724579324118,-4.263348334437421,-10.308470860938625,2135,-0.004605219273079891,-0.004931695157320284,137029.1543224878,98.29924987265983,16,-146861.29747051335,-198.19338390082774,8,13281.706669860985,13.11590327903537,12885,0.9330515028985111,11,12,20
usdgbp,-8.567939786897096,75.03285151116953,-4.642290441178537,-3.483242893446708,-10.45789833837763,2128,-0.003781151105929953,-0.00402628749384262,136783.75540667784,98.54737421230392,15,-144830.0449600966,-195.7162769731035,9,13825.428716477109,13.54494387816764,12487,0.9444432296100187,11,12,20
usdgbp,-9.320814928448474,75.42706964520369,-5.01604804222043,-3.7834580502424795,-10.399140599199267,2143,-0.0040765219992270245,-0.004349423671697841,136681.05592609537,97.49005415556019,13,-145417.04257043888,-196.24432195740738,7,12348.70528441634,12.28850828938645,12902,0.9399246024405161,11,12,20
usdgbp,-10.762273287400449,75.14879802117956,-5.796032024793914,-4.355648399555263,-10.47413337229219,2108,-0.004763796659598227,-0.005105442735958467,129491.96836237244,93.9709494647115,14,-139534.05172080535,-191.14253660384296,7,14204.364538654263,14.182751618837916,12907,0.9280313068058385,11,12,20
usdgbp,-8.75383393833736,74.92463476849348,-4.748046760696957,-3.5574566940894803,-10.414531367263962,2118,-0.003929381892302403,-0.004133066070980812,136023.7558747861,98.63941687801747,13,-144346.18672268282,-195.32636904287256,5,11671.40016851903,11.568528191906553,12487,0.9423439507696469,11,12,20
usdgbp,-14.523537361588627,75.42706964520369,-7.732924837489177,-5.832718602784215,-10.460510917371039,2117,-0.006312138067828261,-0.006860433330934637,127190.0478587238,92.63659712944195,15,-140552.84414831622,-188.91511310257556,7,16439.823373235893,16.358789304450553,12905,0.9049268880287366,11,12,20
usdgbp,-4.995718756056958,74.59225477313133,-2.7428772473559113,-2.045973984461973,-10.478150643206742,2114,-0.0022527699336420703,-0.002363159298040188,137109.74388213205,99.71617736882331,17,-141872.09952185155,-191.9784837914094,9,13290.041824273125,13.191898567080251,12880,0.9664320493192815,11,12,20
usdgbp,-7.223792850709304,75.15652778851356,-3.918385165118934,-2.9449222354836047,-10.484718180847478,2132,-0.0031904092152867064,-0.003388270567874908,139985.07486751818,100.99933251624688,15,-146787.0273145093,-196.76545216422159,6,12068.82863882951,11.7242627066324,12487,0.9536610791060092,11,12,20
usdgbp,-6.2773780799235555,74.7854989564814,-3.428592504027857,-2.5640900113217526,-10.418395354225247,2125,-0.002783870720663889,-0.0029540602729052024,139951.04463092535,99.96503187923238,14,-145866.7699123361,-201.1955447066705,7,10496.74770721687,10.445007846245264,12905,0.9594443252224888,11,12,20
usdgbp,-11.129355885578516,75.28793383319162,-5.978140280550647,-4.500818298876347,-10.527215358955617,2121,-0.004938513878223784,-0.00524722106816526,132291.45507242577,95.93288982771992,18,-142766.04300813843,-192.40706604870408,9,14107.298857620306,13.91857947626987,12394,0.9266310971782307,11,12,20
usdgbp,-12.77256018676416,75.2338254618536,-6.842612500375808,-5.1479591455637115,-10.408490557718244,2128,-0.005586543148928771,-0.00600214294490797,130288.7932322733,95.17077664884827,13,-142176.9570531937,-187.32141904241595,9,16887.18078529532,16.755767293486795,12884,0.9163847358438498,11,12,20
usdgbp,-9.969769123548025,75.31885290252764,-5.365833708909175,-4.041484398207544,-10.380063702820491,2127,-0.0044116778572433,-0.004687244533873073,133427.21982030146,95.8528878019407,14,-142810.85862265795,-194.3004879219836,9,12955.0032322615,12.879539259867743,12468,0.9342932400739189,11,12,20
usdgbp,-7.759197643349945,75.20290639251759,-4.201575184584049,-3.1597066530739903,-10.356841304857777,2133,-0.003422224960793248,-0.0036376922847397774,134334.76172803924,96.92262750940782,12,-141634.36756941132,-189.60424038743147,8,11189.193176609871,11.166280240181116,12905,0.9484616201092949,11,12,20
usdgbp,-8.437440017784805,75.34977197186365,-4.553576968322524,-3.4311098621943237,-10.504703000067805,2108,-0.0037600625427266147,-0.004002580653598105,132969.62883553,98.1325674062952,14,-140895.8406755978,-187.11267021991742,9,15055.48424193915,14.779733622859837,12489,0.9437441744052805,11,12,20
usdgbp,-12.632388719783213,74.9942026744995,-6.7910944284597194,-5.092927119495726,-10.559228259151439,2131,-0.005494494232740118,-0.005927915870381611,130521.66714154308,94.30756296354268,22,-142230.4343515122,-190.4021878868972,8,14408.350171334416,14.33260194490172,12885,0.9176774839832679,11,12,20
