symbol,capital.net_profit_percent,exposure.percent,exposure.net_risk_adjusted_return,returns.cagr,returns.sharpe_ratio,trades.total,trades.avg_profit_loss,trades.avg_profit_loss_percent,trades.winners.total_profit,trades.winners.avg_profit,trades.winners.max_consecutive,trades.losers.total_loss,trades.losers.avg_loss,trades.losers.max_consecutive,drawdown.max_money,drawdown.max_percent,drawdown.max_drawdown_duration,profit_factor,period,period_dfast,lowerband
usdhkd,0.08887405579898913,8.127698951264652,0.4525540942293799,0.03678223437058655,-171.18905033560455,164,0.000542155856648056,0.00054191497438408,2036.9565539298317,17.559970292498548,9,-1948.0429934395502,-40.58422902999063,4,829.913021129134,0.8253283025044706,10719,1.0456425041899573,17,10,20
usdhkd,2.1305026145100707,81.42350400987046,1.087505045280189,0.8854847141512582,-88.21792750864135,1560,0.0013855800675436128,0.0013657068041731224,15214.704057587658,14.643603520296109,18,-13053.199152219593,-25.0541250522449,5,667.3523339639214,0.6611001121962775,2583,1.1655919656294005,17,10,20
usdhkd,1.9520231992341663,81.33096853793954,0.9971659284596212,0.8110047075465473,-84.39220579025395,1568,0.0012623279778367158,0.0012449127546136265,15523.327542816478,14.68621338014804,18,-13543.9972735685,-26.50488703242368,5,761.1113470055861,0.7609419232463985,3574,1.1461407758188713,17,10,20
usdhkd,1.7116016870177668,81.58544108574954,0.8711885100838651,0.710762988640291,-84.63563754213862,1570,0.0011047417313617086,0.0010901921573361572,15300.119700437715,14.53002820554389,26,-13565.675182199822,-26.239216986846852,5,916.9128468999697,0.9164624560036408,3576,1.1278553772622937,17,10,20
usdhkd,2.4831051615024133,81.23843306600864,1.2713054336719882,1.032788613798149,-85.09991362930765,1563,0.0016137970572131064,0.0015886789261051909,15636.228618062525,14.90584234324359,20,-13113.86381763845,-25.513353730814107,5,630.3050345304073,0.6153131479003316,3269,1.1923433730516124,17,10,20
usdhkd,1.4283798944895172,81.8784700801974,0.7240046351436049,0.592803918565299,-84.48729824039853,1554,0.0009309639930657327,0.0009191633812673856,14913.193121024227,14.367238074204458,15,-13466.475075800105,-26.097819914341287,6,695.9080121347215,0.6954844406694073,1797,1.1074310862405221,17,10,20
usdhkd,2.2605153478866367,81.77822331893893,1.1491739816433928,0.939774065031476,-84.62207214324906,1570,0.0014609108628053252,0.0014398186929214247,15417.493385780665,14.31522134241473,21,-13123.863331176295,-26.620412436463074,7,728.6362463542755,0.7285888892701131,3423,1.17476790154891,17,10,20
usdhkd,1.4046277495709283,81.6625539790253,0.7138126823951616,0.5829176670700773,-84.72541237084839,1563,0.0009096913766982038,0.0008986741839865184,14855.01516925359,14.283668431974604,15,-13433.167547474317,-25.684832786757777,5,779.979504761126,0.778817272530667,3574,1.1058460423987346,17,10,20
usdhkd,2.1940496924598603,81.62399753238742,1.1173385446757813,0.9120163861345734,-84.9358140874177,1573,0.0014154139786924128,0.0013948186220342404,15541.756574208652,14.787589509237538,21,-13315.310385725483,-25.50825744391855,5,546.2603365033865,0.5441402525908693,2374,1.167209484719936,17,10,20
usdhkd,2.0043858796918816,81.83991363355953,1.0176576149033718,0.8328501131222613,-84.42864899540417,1565,0.0012983777460427047,0.0012807577506018413,15564.163331984006,14.710929425315696,20,-13532.202159427157,-26.690734042262637,5,689.8158958224376,0.6892675165423086,3574,1.150157465031757,17,10,20
usdhkd,2.0115875684542814,81.55459592843923,1.0249023694272141,0.835854986047364,-84.63042437705731,1556,0.0013111129231013685,0.0012927940671300009,15328.375391352623,14.612369295855695,18,-13288.283683006883,-26.209632510861702,5,791.1656817973999,0.772204627000722,3574,1.1535255987163051,17,10,20
usdhkd,2.752927447573224,81.4697717458359,1.4062336269424107,1.1456553260831717,-84.36709153688753,1578,0.0017739965316864782,0.0017445674572707376,16181.50011700901,15.137044075780178,18,-13382.13359000774,-26.291028664062356,6,752.1819924907322,0.7301963900414074,3574,1.2091868615847268,17,10,20
usdhkd,1.987494293518527,81.67797655768044,1.0110467463691488,0.8258025244865842,-84.23326163634805,1562,0.001290339225294002,0.00127240351697729,15411.661435862778,14.484644206637949,18,-13396.15156595354,-26.899902742878595,5,757.3226391824137,0.7569447818746984,2319,1.1504543943076664,17,10,20
usdhkd,1.4088740484192501,81.70111042566317,0.7156390055320137,0.5846850141588282,-84.76752082007357,1560,0.0009142015307467223,0.0009031243900123399,14964.01866350543,14.197361160821092,25,-13537.864275540522,-26.754672481305377,5,753.7846310544264,0.7537126094173133,3574,1.1053455965385623,17,10,20
usdhkd,1.8784472945369952,81.71653300431832,0.954907454535053,0.7803172652458326,-84.34760036997682,1564,0.0012186904121510521,0.0012010532573765954,15404.988823663114,14.841029695243847,21,-13498.957019058902,-25.66341638604354,7,927.9091796930734,0.9275950122052141,3574,1.1411984497700915,17,10,20
