symbol,capital.net_profit_percent,exposure.percent,exposure.net_risk_adjusted_return,returns.cagr,returns.sharpe_ratio,trades.total,trades.avg_profit_loss,trades.avg_profit_loss_percent,trades.winners.total_profit,trades.winners.avg_profit,trades.winners.max_consecutive,trades.losers.total_loss,trades.losers.avg_loss,trades.losers.max_consecutive,drawdown.max_money,drawdown.max_percent,drawdown.max_drawdown_duration,profit_factor,wait_days
usdnzd,-0.2731950036478634,50.231731809052995,-0.22492223776061274,-0.11298233525083151,-10.28405734278655,1618,-0.00016861691328805042,-0.00016884734465257318,140315.4923846052,169.25873629023545,15,-140588.3145503051,-178.1854430295375,8,9659.649892513175,9.591673234318058,6375,0.9980594250199771,-1
usdnzd,-18.380619746618482,49.14259230650394,-14.903019954165869,-7.3237303374326626,-10.395526090090227,1638,-0.010250485304154656,-0.01122137957669016,123788.59428027486,157.09212472116099,12,-140578.88920847987,-165.38692848056456,9,20194.60862081661,19.80992155658336,12834,0.8805631839692172,-1
usdnzd,12.114097921475759,48.316082187548275,10.63930087277817,5.140493353872042,-10.05529007038134,1591,0.008242827370431952,0.007614140742599472,155466.49301571117,192.1711903778877,12,-142352.15466935403,-182.0360034134962,13,9226.66388187038,9.103094383958585,5673,1.0921260263100214,-1
usdnzd,-21.089491178546783,50.33987331994438,-16.60065683780601,-8.35674962243023,-10.222235954292135,1627,-0.012147342560954077,-0.012962194946863419,109730.81743460573,138.3742968910539,12,-129494.54378127809,-155.26923714781546,13,24269.034382133308,24.133612338570146,12832,0.8473779221149723,-1
usdnzd,6.096624454697617,49.42839487100263,5.168752817657894,2.554831552618018,-9.84740092095072,1592,0.003948683175777152,0.003829537974056292,145164.28994332702,178.55386216891392,12,-138877.98632749004,-178.27726101089866,12,11827.021713145848,11.720994715290525,8790,1.0452649392612388,-1
usdnzd,-4.502200842629234,49.884134095473506,-3.700041085696774,-1.8457334567765924,-9.56900893956642,1632,-0.002697521932321506,-0.0027587014967090893,135224.92938946013,166.3283264323003,8,-139627.2851830088,-170.48508569353942,9,10095.908488230605,9.990277191701264,12717,0.9684706625372075,-1
usdnzd,-16.98952426491211,51.575776301560325,-13.16262021022711,-6.788723555050705,-9.860690015101829,1603,-0.009652846980543814,-0.010598580327456088,129779.74765973662,165.1141827732018,8,-145253.26136954819,-177.7885696077701,8,20126.206022378945,19.794731962716263,12860,0.8934721770518845,-1
usdnzd,-0.6804348459495452,50.73381739533447,-0.5541929520372357,-0.2811632403043847,-9.943449068140259,1611,-0.0002920706500065349,-0.0004223679987272161,144081.5268724839,174.64427499695017,11,-144552.05268964436,-183.90846398173582,9,8730.032315897915,8.416349578635286,12493,0.9967449385297164,-1
usdnzd,2.0632909166290108,48.903136103815854,1.7533243838271346,0.8574306097643742,-10.00864422082712,1632,0.0012774043616731127,0.0012642713949932664,150180.35115922053,175.03537431144585,10,-148095.6272409701,-191.33801969117582,11,10400.812238384708,9.651691498675818,6846,1.0140768769280293,-1
usdnzd,-9.72053885557444,50.324424532674186,-7.834111557332481,-3.9424715584752903,-10.320449255960641,1613,-0.005833442228366565,-0.006026372508105666,126020.35113193236,160.12751096814785,9,-135429.6934462876,-163.95846664199468,10,16970.961219629025,16.641496249995477,12895,0.9305223095842933,-1
usdnzd,12.374311590414527,45.38081260621041,11.577060108554617,5.253763953171511,-10.233591710905575,1481,0.008894335683525096,0.008355375820671524,148004.60790878392,196.81463817657436,12,-134832.09676148332,-184.9548652420896,9,8123.759186083582,7.0397582400169325,3241,1.0976956634487607,-1
usdnzd,-0.02006151060828828,49.691024254596016,-0.016705170218138245,-0.008300970184866627,-9.955222177014878,1630,-1.230644074955025e-05,-1.230767521980876e-05,137681.5753173485,166.28209579389915,9,-137701.63481577035,-171.69779902215754,9,16953.668789279516,16.54110218055833,12860,0.9998543263596784,-1
usdnzd,-5.346286108026807,51.79205932334312,-4.224518998972526,-2.187965386073752,-9.827376451009577,1624,-0.0032055944667371793,-0.0032920480960756202,136741.15790451763,167.16522971212424,9,-141947.04331849876,-176.11295697084213,9,14026.070873162185,13.648959556878262,12825,0.9633251578033912,-1
usdnzd,-7.851909293526371,50.72609300169937,-6.302182186327228,-3.1968507969728805,-10.095295647770438,1620,-0.004661456256661702,-0.004846857588596525,133184.61978947563,160.27030058902002,9,-140736.17892526765,-178.37285034888168,9,10762.13671430084,10.66772152720193,12928,0.9463424458908894,-1
usdnzd,6.41760184561142,50.316700139039085,5.348390404959896,2.691133562328809,-10.284046897061648,1646,0.0040267355538080914,0.0038989075611248,151796.4132884017,180.92540320429285,9,-145168.40656683358,-179.8865013219747,8,11248.344015578783,11.203481846332997,5124,1.0456573635980269,-1
usdnzd,0.5113159056638312,49.11169473196354,0.43126791470156584,0.21180298174513792,-9.850525057389278,1645,0.00031162635641316294,0.00031083033778956303,142961.51537323385,170.39513155331807,9,-142448.89001693449,-176.73559555450927,13,10863.664178334482,10.651476380653516,6542,1.0035986616409467,-1
usdnzd,-1.3217632137605744,49.590607137339724,-1.0998928207556495,-0.5454435276727383,-10.223664064661097,1621,-0.0008100347215120095,-0.0008153998851083123,138751.37343434774,172.79124960690876,7,-140064.43971791846,-171.22792141554825,10,14570.22001022227,13.907910774989318,12670,0.9906252701526872,-1
usdnzd,-8.713201636189016,50.21628302178279,-7.051975732922658,-3.541240092671883,-9.564306338424263,1632,-0.005112984850142163,-0.005338971590802093,131170.1014571346,159.76869848615664,10,-139514.4927325665,-172.0277345654334,11,17946.53589936938,17.693138486234087,12830,0.9401897888026074,-1
