symbol,capital.net_profit_percent,exposure.percent,exposure.net_risk_adjusted_return,returns.cagr,returns.sharpe_ratio,trades.total,trades.avg_profit_loss,trades.avg_profit_loss_percent,trades.winners.total_profit,trades.winners.avg_profit,trades.winners.max_consecutive,trades.losers.total_loss,trades.losers.avg_loss,trades.losers.max_consecutive,drawdown.max_money,drawdown.max_percent,drawdown.max_drawdown_duration,profit_factor,period,period_dfast,lowerband
usdchf,-5.757049612555268,50.32173036669509,-4.678051320890467,-2.354076372114119,-13.700893742811727,1605,-0.0034735484131453143,-0.0035869467990998554,94237.14200748387,118.53728554400486,10,-99812.18721058211,-123.22492248220013,10,14136.86652016142,13.786786348033207,12658,0.9441446444677531,-1,-1,-1
usdchf,-7.19073508034678,49.46895108147918,-5.926232564301505,-2.931645088209001,-13.461779700877358,1612,-0.004292272928666015,-0.004460753771927283,97017.54325649771,122.0346456056575,8,-103936.68721750737,-127.2174874143297,9,12125.050858565126,11.828549970374807,12457,0.9334292428761942,-1,-1,-1
usdchf,-10.770347533786957,50.26746259399953,-8.671302794209561,-4.3588438884917275,-13.063839795746139,1614,-0.00632628224182907,-0.006673077778058833,100269.73127585003,125.1806882345194,10,-110480.35081416223,-135.89219042332377,10,15104.399932705695,14.690432812830329,12446,0.9075797690442949,-1,-1,-1
usdchf,-17.378737545997705,50.112411814869375,-13.846316227076771,-6.938723008901795,-13.262653229376161,1653,-0.009720331962861603,-0.010513452840893953,88779.41806975096,108.39977786294378,9,-104847.12680436137,-125.71597938172826,10,20500.05489016883,19.954915294495237,12456,0.8467510820340187,-1,-1,-1
usdchf,-4.569255445337888,50.03488642530429,-3.743316741615707,-1.8729642802068205,-13.313297007555924,1634,-0.0027334375318202077,-0.0027963619616510945,97128.17459181318,117.8739982910354,11,-101594.6115188076,-125.42544631951554,10,11067.658731405449,10.867751482136642,12438,0.956036674974956,-1,-1,-1
usdchf,-8.513652652266687,51.0814791844329,-6.776544717645352,-3.4615592793677976,-12.916465236128372,1604,-0.005088099022870644,-0.005307763498919381,93846.56418891685,121.56290698046223,9,-102007.87502160139,-122.60561901634782,9,17895.55615119898,17.277996717036746,12457,0.9199933257019982,-1,-1,-1
usdchf,-2.7666817628480964,51.39933328164974,-2.2146309574982146,-1.1383055468030983,-12.86576229553345,1599,-0.0017065413732339503,-0.0017302575127255138,110961.7919820237,140.28039441469494,10,-113690.55163782474,-140.70612826463457,8,11150.161839703302,10.66549288864305,12448,0.9759983603167496,-1,-1,-1
usdchf,2.8665224466499506,49.38367315295759,2.4162031011371488,1.1932098421771948,-13.376876357523205,1593,0.0018254881347823657,0.0017994491190520719,106619.87768767016,131.95529416790862,9,-103711.87508896177,-132.1170383298876,9,7684.9342797591235,7.399517543900524,5538,1.0280392442641113,-1,-1,-1
usdchf,-3.243659104348736,49.53097139313125,-2.69172265372772,-1.3332363776003104,-12.862929773236553,1612,-0.0019799110998242617,-0.002012195474161747,102406.69459439363,125.80675011596269,9,-105598.31128731063,-132.32871088635417,10,11212.399041485012,11.182805661276568,12818,0.9697758737425897,-1,-1,-1
usdchf,-7.638237272804741,50.28296767191255,-6.187430081728978,-3.1112234677179744,-13.073795648896448,1646,-0.004467686205113381,-0.004640484369869223,101227.27193101625,122.40298903387696,10,-108581.08342463298,-132.5776354391123,9,12590.004438415795,12.283946660707125,11368,0.9322735483780555,-1,-1,-1
