symbol,capital.net_profit_percent,exposure.percent,exposure.net_risk_adjusted_return,returns.cagr,returns.sharpe_ratio,trades.total,trades.avg_profit_loss,trades.avg_profit_loss_percent,trades.winners.total_profit,trades.winners.avg_profit,trades.winners.max_consecutive,trades.losers.total_loss,trades.losers.avg_loss,trades.losers.max_consecutive,drawdown.max_money,drawdown.max_percent,drawdown.max_drawdown_duration,profit_factor,period,period_dfast,lowerband
usdaud,6.794034445588936,11.107685192322515,25.668851971693257,2.851215269498958,-22.703472023383764,313,0.022460529443597776,0.021706180337344845,30905.861442920774,139.2155920852287,16,-23875.71572707467,-262.37050249532604,4,2861.2030690954416,2.8598695865669748,2506,1.2944475380846505,10,9,20
usdaud,-4.347973142125183,76.10421644954907,-2.34293591817756,-1.7830730224440803,-8.454969015830306,2058,-0.0019672663038822,-0.0021127177561346857,182843.98376044835,135.84248422024393,14,-186892.61781383792,-262.4896317610083,6,12926.358491716339,12.597682797478365,12534,0.9783371108995734,10,9,20
usdaud,-9.012946491148671,76.30463269868187,-4.79761957826752,-3.6608059974770817,-8.373653335074316,2031,-0.004146696138998486,-0.0044376890650658155,181815.75324690947,138.579080218681,19,-190237.69310521515,-264.5864994509251,8,18096.26535077364,17.279490408972382,12744,0.9557293840098884,10,9,20
usdaud,-9.591532194374635,75.77275880675248,-5.135328892490536,-3.8911803756403276,-8.444788633179076,2037,-0.004393847586409865,-0.00470865596189231,171875.86353526017,129.03593358503016,15,-180826.13106877726,-256.4909660550032,8,16819.590755415527,16.3143052150162,12886,0.9505034616367871,10,9,20
usdaud,-7.3535911511210434,76.06567486317736,-3.940063870977486,-2.9970361734992546,-8.369502480758678,2037,-0.0034255085585708934,-0.0036100103834663935,181295.9872749357,137.2414740915486,15,-188273.74820874457,-262.95216230271586,8,15442.97436355101,14.881934341629856,6469,0.9629382162930521,10,9,20
usdaud,-13.81234621390802,75.91921683496493,-7.317237389207003,-5.555189319841191,-8.47815336518473,2035,-0.00624733796732721,-0.006787393716908118,172114.87341815763,131.4857703729241,15,-184828.206181668,-254.58430603535538,8,16121.752106266693,15.990763444619109,12911,0.9312154079393358,10,9,20
usdaud,-10.430816965719284,76.19671625684113,-5.544042088627023,-4.224378019430982,-8.314008103144939,2045,-0.004767629342224419,-0.0051006439930167645,178088.68583536294,134.91567108739616,15,-187838.48784021157,-259.0875694347746,8,16029.178150639404,15.67774321341403,12886,0.9480947588699581,10,9,20
usdaud,-6.5728954558596255,74.94796885839821,-3.5800367078645916,-2.6831647969295784,-8.497968114702484,2008,-0.0030676809067578053,-0.0032733543106870646,184217.67307915993,141.81499082306385,13,-190377.57633992945,-268.51562248227003,5,14868.762323502655,14.261999848526372,6535,0.9676437562700626,10,9,20
usdaud,-5.233456351724246,76.32775765050489,-2.8066959334076444,-2.1422880700379627,-8.334816249818768,2053,-0.0023840802176756594,-0.002549175037371771,186015.78609761092,137.7894711834155,15,-190910.30278449948,-271.5651533207674,7,13846.54763341551,13.485097137298046,6472,0.9743622181961886,10,9,20
usdaud,-9.483846588518977,75.72650890310645,-5.081899615276343,-3.8483451646091718,-8.543110357779295,2023,-0.004418395763172252,-0.0046880111658521885,180719.69796203665,138.05935673188438,18,-189658.11259093398,-265.6276086707759,7,16894.742667872197,16.32014734904791,12519,0.9528709080419026,10,9,20
usdaud,-10.57115505037517,76.53588221691204,-5.592121689343962,-4.279979669582687,-8.277018749418566,2039,-0.004824843997394029,-0.0051844801620280385,180068.94331332654,136.6228704956954,15,-189906.80022401275,-263.39362028295807,8,16368.67231852471,15.879630045502502,12854,0.948196394762686,10,9,20
usdaud,-11.144181408202657,76.3894241886996,-5.899608164875135,-4.506676706537624,-8.398655095784493,2048,-0.005055191552879807,-0.005441494828223954,176582.76035952003,132.17272482,16,-186935.7926598179,-262.5502705896319,8,17877.807979363264,17.36493455579536,12886,0.9446171749508768,10,9,20
usdaud,-7.60315571996503,75.71880058583211,-4.090341578469216,-3.097157583080483,-8.488360559910712,2046,-0.00352376443877612,-0.0037161073900122336,183554.2269403669,137.80347367895413,15,-190763.84898210253,-267.17625907857496,8,14514.993373739359,14.19165691727359,12886,0.962206560204119,10,9,20
usdaud,-9.905231285772018,76.02713327680567,-5.282133867088488,-4.015854954990654,-8.449151368922978,2036,-0.004536071801558783,-0.004865044835840874,178530.3571643179,135.76453016297938,14,-187765.7993522916,-260.4241322500577,6,15206.54340585717,15.000818050708588,12892,0.9508140341860346,10,9,20
usdaud,-5.757094798002925,76.23525784321282,-3.087934239336885,-2.354094629387327,-8.404641811805094,2044,-0.0026375851037023536,-0.002816582582193212,181105.78747959106,136.78684854954008,16,-186497.01143155876,-259.0236269882761,7,12536.781023976422,12.218093270973275,12854,0.9710921697319199,10,9,20
usdaud,-9.376786261570459,76.08879981500039,-5.001708215919864,-3.805739751741693,-8.306048125880254,2033,-0.004306213400993912,-0.004612290340172385,180090.58074789602,134.7983388831557,15,-188845.11259211673,-270.93990328854625,7,16544.114822388627,16.0503872195615,12854,0.9536417346255105,10,9,20
usdaud,-9.079014295502716,76.45109072689432,-4.82287428283617,-3.6871399936151343,-8.377923995048917,2059,-0.004138666395630694,-0.004409428992473393,176764.10605475592,131.71691956390157,17,-185285.6201633598,-258.41788028362595,7,13928.998655875184,13.759757803004645,12854,0.9540087671072868,10,9,20
usdaud,-14.428172270046613,76.1504663531951,-7.610657956170646,-5.795551526170494,-8.314905076614505,2029,-0.006570380372503608,-0.007110976968973195,173063.08272068267,131.90783743954472,14,-186394.38449649292,-259.9642740536861,8,19778.32846994007,19.16472426876305,12854,0.9284779860089557,10,9,20
usdaud,0.7256823177460484,72.28089108147692,0.4160624376684605,0.3007336374020777,-8.572452776922926,1967,0.0004805398930452552,0.000368928478772775,189652.7149401913,145.99901073147907,15,-188707.49297057083,-282.4962469619324,6,10600.661262918977,9.880755666836352,6535,1.0050089265388518,10,9,20
usdaud,-5.919428771234981,75.63400909581438,-3.199174556083232,-2.4196639747389708,-8.413134046232905,2036,-0.0027233209953575438,-0.002907381518288301,183599.86552754746,139.51357562883547,15,-189144.54707409567,-262.7007598251329,8,13981.857408746175,13.489607709130823,6472,0.970685480325393,10,9,20
usdaud,-9.1138736541504,76.09650813227472,-4.8636025369864635,-3.701031700079424,-8.408466641350667,2024,-0.004206680024695002,-0.004502902003038735,182201.62035556836,139.93980058031363,15,-190715.9407255508,-264.1495023899596,6,15641.489148655368,15.191537657812827,6469,0.9553560109470086,10,9,20
usdaud,-8.478906322196778,75.78817544130116,-4.549097752321701,-3.4476781855258585,-8.53906690868498,2039,-0.0038899303606236752,-0.004158365042764482,178424.03092135122,134.65964597837828,13,-186355.598926663,-261.0022393930854,6,15085.866355911741,14.670483733644238,12519,0.9574385312220585,10,9,20
usdaud,-9.469235271017713,75.96546673861097,-5.058261029347793,-3.842531599801319,-8.363406328774687,2034,-0.0043455498499426265,-0.004655474567855316,180117.0144942427,138.76503427907758,15,-188955.86288902562,-256.73350936008916,8,15872.20359573829,15.465573125649781,12519,0.9532226824844593,10,9,20
usdaud,-12.523643211214585,75.98859169043398,-6.646012221353691,-5.050211090580798,-8.346049749976792,2041,-0.0056927753822547025,-0.006136032930531399,180830.91076880626,135.75894201862332,14,-192449.86532398785,-271.4384560281916,8,18558.33120863764,17.908596725843864,12854,0.9396260707399241,10,9,20
usdaud,-8.468375600283059,75.01734371386726,-4.590232894473658,-3.443470787714302,-8.496483749236491,2016,-0.003981719468468179,-0.004200583135061041,183937.0326182639,141.0560066090981,14,-191964.1790666959,-269.61261104873023,6,15430.242995520646,14.94708774495275,12854,0.9581841441072032,10,9,20
usdaud,-6.927913469333527,76.32775765050489,-3.7024828917285793,-2.8260221686499953,-8.321880191118215,2053,-0.0031624266134134145,-0.0033745316460465306,185179.380972194,139.12800974620134,16,-191671.84280953187,-265.4734664951965,8,12641.668839706894,12.374146589271295,12744,0.9661272008336166,10,9,20
usdaud,-11.228442637776638,75.89609188314192,-5.981818267046413,-4.539966288240113,-8.442097130082619,2047,-0.005094547201769897,-0.005485316383867434,172555.1142731819,128.77247333819545,21,-182983.6523952045,-258.81704723508415,7,17142.32573023984,16.96301122725958,12920,0.9430083617551844,10,9,20
