symbol,capital.net_profit_percent,exposure.percent,exposure.net_risk_adjusted_return,returns.cagr,returns.sharpe_ratio,trades.total,trades.avg_profit_loss,trades.avg_profit_loss_percent,trades.winners.total_profit,trades.winners.avg_profit,trades.winners.max_consecutive,trades.losers.total_loss,trades.losers.avg_loss,trades.losers.max_consecutive,drawdown.max_money,drawdown.max_percent,drawdown.max_drawdown_duration,profit_factor,wait_days
usdeur,-1.6216535287726732,49.69467419030687,-1.3457833958917114,-0.6687826738956336,-14.686565110479732,1642,-0.0009025317074961451,-0.000987608726414539,92279.98681872005,110.38275935253594,11,-93761.94388242865,-116.32995518911743,8,9113.09979338685,8.909637798055845,12496,0.9841944716337486,-1
usdeur,-12.035666844006775,49.725593259642885,-9.77020739309073,-4.858293588911856,-14.765584679224746,1634,-0.006904858808066608,-0.007365769182378687,81916.42265236132,97.63578385263565,8,-93198.96194474222,-117.23139867263171,10,15978.152250003506,15.627566359441957,12496,0.8789413631122809,-1
usdeur,-7.872999239443381,50.63770580505527,-6.329864804165966,-3.2052983173912994,-14.508098684470124,1646,-0.004599668533492216,-0.00478311010901785,84274.09986867673,98.10721754211494,9,-91845.15427480485,-116.70286438984098,8,14912.028064310245,14.786519750664949,12712,0.9175671872304206,-1
usdeur,-0.7008253432188255,49.86472907165494,-0.5807243213787456,-0.2895766095087183,-14.682730369877264,1609,-0.0005928828428473231,-0.00043556578198808297,92626.17774520414,111.86736442657505,13,-93580.12623934553,-119.82090427573051,8,5149.663303962268,5.09623020788737,6002,0.989806078144183,-1
usdeur,4.368163293077648,49.71786349230889,3.6686014924445445,1.823950282090385,-14.646997780189839,1638,0.0027669022306072992,0.0026667663571902614,96115.71998094715,112.02298366077757,8,-91583.5341272125,-117.41478734258013,10,7169.479862630134,7.136195213232562,7111,1.0494869071927198,-1
usdeur,0.19007626375827433,49.25407745226869,0.15974958852769044,0.07868318606310919,-14.703196866534183,1602,0.00011876218676493929,0.00011864935315747461,88086.84929426374,109.01837783943532,9,-87896.5922710664,-110.70099782250176,10,6384.251608478196,6.23566239116858,6550,1.0021645551696772,-1
usdeur,1.933393192511507,50.26667697302312,1.597944338206152,0.8032335186947984,-14.64660230160469,1598,0.0012421794971763012,0.001209883099193684,93978.3325330647,113.91313034310873,9,-91993.32969657701,-119.00818848198837,10,6954.289702429902,6.648845598794115,11930,1.021577682241037,-1
usdeur,-2.216693072281349,51.53435881579964,-1.7717468511253318,-0.9130583795665599,-13.866876734587724,1610,-0.0013616801036842633,-0.0013768279952058068,88468.02806845658,106.33176450535646,11,-90660.33303538834,-116.52999104805698,11,7448.395899996642,7.413848939430579,12850,0.9758184765759021,-1
usdeur,4.452832157046658,50.83094998840535,3.658461926639346,1.8596309522748968,-14.533336863282788,1630,0.002793532973781017,0.002731798869353778,98494.73239990114,115.73999106921403,11,-93941.27365263816,-120.59213562597967,10,6655.518479181963,6.571889233943618,7168,1.048471332889312,-1
usdeur,-3.409646205993905,50.67635464172528,-2.7645668541950905,-1.4009817033394925,-15.163011971892804,1604,-0.0020123430116732767,-0.002125714592265527,89898.83875684175,110.57667743768974,10,-93126.63694756586,-117.73279007277606,11,6692.555810669262,6.497886422785381,10898,0.9653396890887246,-1
usdeur,10.12788187287307,49.7797016309809,8.597687930626345,4.279903399028651,-14.354320332453257,1607,0.006706397423977355,0.006302353374532091,102887.2039286225,119.77555754205181,9,-92110.02326829097,-123.1417423372874,9,3868.210493561375,3.8076457603281253,3097,1.1170033431534436,-1
usdeur,-7.077949785777362,52.26095694519594,-5.5229239940640875,-2.886332930653729,-13.989475658198245,1566,-0.004325239546476468,-0.0045197635924504225,87128.35962454924,110.01055508150156,10,-93901.68475433126,-121.32000614254684,9,12548.177552089459,12.379922170417998,12851,0.9278679062308347,-1
usdeur,-5.0756694911515,49.091752338254615,-4.2336537555061255,-2.078374816512283,-14.915005511766935,1621,-0.003053059451096466,-0.0031311964781933995,84368.49272860005,105.72492823132838,9,-89317.50209882746,-108.5267340204465,9,11124.010100092637,10.982017159046018,12823,0.9445908220233088,-1
usdeur,-6.189111795553128,49.37002396227874,-5.121520786497022,-2.528496039526666,-14.609894779044303,1625,-0.0036932166933624434,-0.003808684181878848,83392.52752271183,101.32749395226224,9,-89394.0046494258,-111.46384619629151,8,10021.170501655492,9.982342852859938,12925,0.9328648811489113,-1
usdeur,-5.280663269868271,50.28986627502512,-4.297887006022344,-2.1614016279803177,-14.151488112084664,1564,-0.0032887841497778575,-0.0033763831648774114,87249.52336818998,110.30281083209859,11,-92393.18177844275,-119.52546155037872,11,8874.948942687974,8.811347367256053,12907,0.9443285931792329,-1
usdeur,-2.888705643196963,49.89564814099096,-2.381391705263731,-1.1882108261171356,-14.413581165636941,1583,-0.0017987248323313464,-0.0018248298440915749,90592.5717779505,111.42997758665499,7,-93439.95318753118,-121.3505885552353,7,8612.81794520904,8.482143073228144,12379,0.9695271528671888,-1
usdeur,-6.2677624259926,50.7227332457293,-5.047466690845638,-2.5602130652646724,-14.223672521429327,1627,-0.0039941088844995185,-0.0038523432243347264,83030.28828241029,101.50401990514705,8,-89528.70343749084,-110.66588805623095,12,14430.646763438039,14.40267637787104,12927,0.9274152879962373,-1
usdeur,-12.929494145806316,51.302465795779554,-10.15454962669111,-5.209534348948668,-14.94179073808651,1611,-0.0074759267878699,-0.008025756763380706,78491.49058414603,98.23715967978227,8,-90535.20863940456,-111.49656236379872,8,15265.358311794189,15.17361772189636,12884,0.8669719964613124,-1
usdeur,-5.093887583803097,49.223158382932674,-4.237347722438702,-2.085756380651593,-14.6712139524846,1626,-0.0030167150058823286,-0.0031327721917608223,89032.25098059699,107.13868950733693,8,-93937.42958016177,-118.16028878007769,9,8614.45972836863,8.530946766718062,6845,0.9477824907335906,-1
usdeur,-7.789429736249091,49.686944422972864,-6.383609396291619,-3.17182045291509,-14.567319186303125,1590,-0.004694352183173123,-0.004899012412735278,84168.38660596547,110.16804529576632,9,-91632.40657721064,-110.93511692156252,8,10320.116943992718,10.254047481242702,12490,0.9185438836536952,-1
usdeur,-9.637730713903155,49.308185823606706,-7.928808007405857,-3.9095513858886886,-15.757443194422569,1595,-0.0057604193876780365,-0.006042464397431445,78464.54266804787,95.33966302314444,9,-87652.41159139432,-113.53939325310145,9,13434.579661567535,13.295226047517453,12711,0.8951783669549542,-1
usdeur,-3.6459411352455473,50.36716394836516,-2.9728534234424373,-1.4973419577298386,-14.59953405538038,1567,-0.0022847971561211085,-0.0023267014264489773,89364.91980286084,113.12015164919093,8,-92945.19694650265,-119.620588090737,9,7668.688271875391,7.506078644450395,12495,0.9614796970552169,-1
usdeur,2.318270758851187,48.77483187756049,1.976224819514952,0.963900333241041,-15.53100617001428,1617,0.001491157451654307,0.001433686307267277,91708.01205202819,108.53019177754815,10,-89296.81045270307,-115.66944359158428,13,8051.630563346305,8.009520574903888,10377,1.0270021021702924,-1
usdeur,-12.249386935040175,49.44732163561877,-9.995275084179706,-4.942395819239205,-14.232675860020487,1603,-0.007192056844540696,-0.007641538948870976,81694.15591608391,100.73262135152147,14,-93223.02303788274,-117.70583716904386,9,14901.815014532549,14.755623032369913,12712,0.8763302589199035,-1
usdeur,-0.5097628332708694,51.24835742444153,-0.4111625055418048,-0.21071403043535333,-14.320985384011292,1599,-0.0002979729802354393,-0.00031880102143268875,93130.53893664411,112.34081898268288,12,-93606.99773204043,-121.56752952213043,9,9589.089216260269,9.30977175977306,12484,0.9949100087927162,-1
usdeur,-4.440146332495367,50.56813789904923,-3.600145289798172,-1.8205264347112653,-14.402283482910942,1604,-0.0027076151706604745,-0.002768171030234019,88369.60774542345,110.32410455109044,11,-92712.62247916307,-115.45781130655425,11,10038.543202400862,9.890467693856456,12721,0.9531561656050048,-1
usdeur,-11.296557569304175,49.57872768029682,-9.21134645383022,-4.566868374033163,-14.479522690363073,1623,-0.0065461436173333614,-0.006960294250957594,85517.01814303434,105.31652480669253,9,-96141.40923396664,-118.54674381500202,10,13473.434198395742,13.40429309205451,12910,0.8894920391162863,-1
usdeur,-2.001006851700846,48.48883048620237,-1.7005655220946707,-0.8245843333152871,-15.176620396528929,1573,-0.0012594530063937698,-0.0012720959006362659,86400.45334421689,107.86573451213096,9,-88381.57292327433,-114.48390275035536,9,9301.437987096695,9.056196397649877,6958,0.9775844724920512,-1
usdeur,2.242856188897447,49.66375512097086,1.8774223223948843,0.9323984247806394,-14.399829220338967,1665,0.0014018004487629915,0.0013470607741125809,97829.95021999757,116.46422645237806,10,-95495.95247280691,-115.75266966400838,9,7705.371790603691,7.524887761449151,7874,1.024440802848218,-1
usdeur,-10.07544896356386,48.11780165417021,-8.48633426436756,-4.083437489038268,-14.951967236314399,1576,-0.006007707576776306,-0.006393051372819708,79633.70419575082,101.44420916656155,9,-89101.85133675023,-112.64456553318614,8,11048.573828092005,11.044277402311947,12929,0.8937379302567392,-1
usdeur,-1.0004189114907558,49.67148488830486,-0.8316860007158879,-0.41311078616373936,-14.488385071894593,1620,-0.0006144638070781938,-0.0006175425379572567,87603.49461461762,105.80132199833047,9,-88598.92598208423,-111.86733078545988,8,11547.210785031188,11.494610613779548,12496,0.9887647467908596,-1
usdeur,-1.2533845153881684,49.84153976965293,-1.0378877659673347,-0.5172992436389715,-14.246192889553635,1638,-0.0007216255908812086,-0.0007651920118364886,91017.57494850672,110.99704262013014,9,-92199.59766637006,-112.7134445799145,11,9672.493327585224,9.359799243843142,12498,0.9871797410424658,-1
usdeur,-0.7433996561759042,49.215428615598675,-0.6240746315650563,-0.3071410048059607,-14.70165370876205,1615,-0.0006167849504327712,-0.00046030938462904286,91550.0891468851,108.9882013653394,9,-92546.19684183411,-119.41444753785046,11,5548.9986619381525,5.447023822834623,5789,0.9892366436553691,-1
usdeur,-3.1371351998045074,49.42413233361676,-2.6095260521365513,-1.289735609288174,-15.822950211361087,1605,-0.0022544950820884866,-0.001954601370594709,83279.71203820089,99.73618208167771,7,-86898.1766449528,-112.85477486357506,9,9387.647918627219,9.271685445240484,12851,0.9583597177011415,-1
usdeur,-15.37025806553651,48.604776996212415,-12.677915481359786,-6.162072547483214,-14.352656724728636,1620,-0.008794627888007505,-0.009487813620701549,78976.47460773012,98.47440724155877,10,-93223.77178630233,-113.96549118129869,8,16077.56918557857,15.981106656765446,12850,0.8471709854088353,-1
usdeur,-10.799681421636803,51.24062765710752,-8.52927151912576,-4.370452260978949,-14.958387447530388,1625,-0.006299664241089723,-0.006645957797930341,83228.01265880783,103.00496616189088,10,-93464.96705057884,-114.40020446827275,9,12983.483058409402,12.935513843608858,12828,0.8904728186954664,-1
usdeur,-2.157581010805739,51.27154672644353,-1.733551343955642,-0.8888185873431067,-14.187655238347956,1603,-0.001331548178784179,-0.0013459644484128128,91055.65516993264,107.63079807320642,10,-93190.12690052362,-123.10452694917255,8,8953.816517079817,8.833297649580091,12484,0.9770955164288011,-1
usdeur,-5.859152957884872,50.606786735719254,-4.733204543604996,-2.3953227291475545,-14.38280245364123,1621,-0.003510677628424601,-0.003614529893821636,86137.48144197997,102.66684319663881,11,-91828.28987765613,-117.42748066196437,8,10329.629002375092,10.242651044163361,12495,0.9380277206157482,-1
usdeur,-3.3288910651855934,50.003864883667006,-2.735845382360319,-1.3680284284214967,-15.135068281945829,1638,-0.0019988359115317936,-0.0020322900275858325,85923.51838981683,102.16827394746353,9,-89197.6116129059,-111.91670214919183,8,11891.260528596948,11.840579648818583,12906,0.9632939361953125,-1
