symbol,capital.net_profit_percent,exposure.percent,exposure.net_risk_adjusted_return,returns.cagr,returns.sharpe_ratio,trades.total,trades.avg_profit_loss,trades.avg_profit_loss_percent,trades.winners.total_profit,trades.winners.avg_profit,trades.winners.max_consecutive,trades.losers.total_loss,trades.losers.avg_loss,trades.losers.max_consecutive,drawdown.max_money,drawdown.max_percent,drawdown.max_drawdown_duration,profit_factor,wait_days
usdaud,-0.651856054294188,14.483928158483003,-1.8597861209165532,-0.26937008565499143,-24.300042035878946,411,-0.0015808663786081977,-0.0015860244630028905,30749.290482875258,120.58545287402062,10,-31399.026564483254,-201.2758113107901,4,3360.8760585174605,3.322698951505549,10103,0.9793071265991748,9
usdaud,-16.462792776486722,73.77630463269868,-8.926091816338888,-6.585340690216565,-8.40556535955488,2269,-0.00660926815945621,-0.0072555278873894765,191689.11902911673,132.65682977793546,15,-206685.54848292295,-250.8319763142269,6,22010.966829270634,21.087477871582593,12854,0.9274432607219982,9
usdaud,-12.4274275651317,73.57588838356587,-6.812559063723301,-5.012400852789556,-8.531743724308404,2270,-0.005108925922938967,-0.005474637693890617,189697.91232562816,130.91643362707256,14,-201295.17417069981,-245.182916164068,8,18658.026150778052,18.291372355234284,12911,0.9423867865046924,9
usdaud,-8.737790660930274,73.22130578894628,-4.849755151170899,-3.5510540492540175,-8.488393681384759,2273,-0.003594197314716494,-0.0038441665908184224,199461.76867829848,136.33750422303382,14,-207631.3791746492,-256.3350360180854,7,16508.67401671782,15.855130592939854,12519,0.9606532956202211,9
usdaud,-13.659422146372705,74.02297078547753,-7.423920829164397,-5.495406746509343,-8.41898531725297,2282,-0.005512597864247346,-0.005985723990522658,192553.0962162153,131.97607691310162,21,-205132.84454242713,-249.2501148753671,6,19529.429631092367,18.71474987271602,12885,0.9386751139035172,9
usdaud,-6.612828447949337,73.15963925075157,-3.6895262561824897,-2.6992440990848694,-8.505782563437075,2258,-0.0027446275190861195,-0.0029286219875772086,199193.88633115453,137.94590466146437,18,-205391.25526925075,-252.32340942168395,7,13102.567252861278,12.674616677674981,12854,0.9698265199753905,9
usdaud,-20.186595042237887,73.71463809450397,-10.871272066888105,-8.013718860375468,-8.468618958570849,2258,-0.008017530189567855,-0.008940033233940605,180451.51411485672,126.63264148410998,14,-198555.09728290094,-238.36146132401072,7,25545.17962636288,24.751651477546357,12886,0.9088233774112066,9
usdaud,-18.456661930840678,73.94588761273414,-9.9436050515816,-7.352887016096685,-8.471806753051021,2270,-0.007345596706329384,-0.00813068807526021,185834.34819573793,127.89700495233167,14,-202508.85271910537,-247.86885277736275,6,21531.184414877484,20.93204611245992,12886,0.9176603674383746,9
usdaud,-9.74316742537103,73.5219301626455,-5.374539976888511,-3.951465528371435,-8.571033815803235,2277,-0.003991315934176585,-0.00427894924258719,195910.30132126913,134.55377837999254,16,-204998.52770338987,-249.69370000412897,7,14804.577628334417,14.453578416843396,12911,0.9556668699822547,9
usdaud,-2.9392947087737826,72.9515146843444,-1.6571188959400265,-1.2088933347087345,-8.66016913991025,2251,-0.001193879529005309,-0.0013057728604059452,199264.24364026575,138.4741095484821,16,-201951.66646005635,-248.70894884243393,7,12163.5609364681,11.663749899722232,12886,0.986692742541334,9
